Date,Category,Subcategory,Description,Amount ,Payment Method,Expense Type,Month
21-01-2024,Shopping,Personal Care,Nykaa skincare order,1097.9,UPI,Need,January
04-01-2024,Miscellaneous,Travel,Train ticket  home,3888.11,UPI,Want,January
01-01-2024,Transportation,Fuel,Fuel refill  bike,104.41,Cash,Need,January
24-01-2024,Food,Meal Prep,Protein powder top-up,406.23,UPI,Need,January
09-01-2024,Healthcare,Mental Health,Counselling session,162.95,UPI,Need,January
08-01-2024,Transportation,Vehicle Maintenance,Bike service  TVS,587.12,Debit Card,Need,January
08-01-2024,Education,Books & Stationery,Printer paper,2843.2,Credit Card,Need,January
05-01-2024,Shopping,Gifts,Farewell gift pooling,3378.83,UPI,Want,January
24-01-2024,Shopping,Home Essentials,Extension cord,1589.54,Cash,Need,January
04-01-2024,Transportation,Ride Share,Rapido bike ride,52.46,Cash,Want,January
22-01-2024,Entertainment,Hobbies,Cricket bat purchase,60.43,Credit Card,Want,January
24-01-2024,Entertainment,Movies,PVR Cinemas  Avengers,1296.47,Credit Card,Want,January
29-01-2024,Entertainment,Subscriptions,Disney+ Hotstar,360.64,UPI,Want,January
18-01-2024,Miscellaneous,Donations,Friend crowdfund,3233.84,UPI,Want,January
03-01-2024,Transportation,Public Transport,MTC season ticket,222.26,UPI,Need,January
19-01-2024,Miscellaneous,Travel,Weekend trip  Pondicherry,261.24,Credit Card,Want,January
14-01-2024,Transportation,Ride Share,Rapido bike ride,126.27,UPI,Want,January
02-01-2024,Education,Exam Fees,Gate exam form,871.71,Credit Card,Need,January
01-01-2024,Transportation,Vehicle Maintenance,Bike service  TVS,44.59,Debit Card,Need,January
03-01-2024,Food,Groceries,Big Basket order,158.06,Debit Card,Need,January
07-01-2024,Miscellaneous,Donations,Friend crowdfund,3611.72,UPI,Want,January
08-01-2024,Bills,Mobile Recharge,Airtel postpaid bill,1738.18,Debit Card,Need,January
17-01-2024,Shopping,Home Essentials,Bedsheet  Pepperfry,626.31,Debit Card,Need,January
20-01-2024,Entertainment,Movies,PVR Cinemas Avengers,1134.56,Credit Card,Want,January
01-01-2024,Food,Meal Prep,Dabba from mess,417.19,Cash,Need,January
18-01-2024,Food,Meal Prep,Tiffin service  monthly,685.53,UPI,Need,January
07-01-2024,Transportation,Ride Share,Auto fare  hospital,85.13,Debit Card,Want,January
23-01-2024,Entertainment,Hobbies,Badminton court booking,948.1,Cash,Want,January
21-01-2024,Healthcare,Mental Health,Counselling session,1355.97,Credit Card,Need,January
23-01-2024,Entertainment,Subscriptions,Disney+ Hotstar,239.77,Debit Card,Want,January
18-01-2024,Miscellaneous,Emergency Fund,Unexpected repair,57.08,Cash,Need,January
